feature id,name,obs_freq,th_freq,dev (%)
1,JHipster,1.000000,1.000000,0.000000
2,Hibernate2ndLvlCache,0.644295,0.647166,0.443636
3,HazelCast,0.322148,0.323583,0.443636
4,EhCache,0.322148,0.323583,0.443636
5,Server,0.178971,0.051798,245.519147
6,MicroserviceApplication,0.125280,0.034735,260.673496
7,UaaServer,0.053691,0.017063,214.669223
8,BackEnd,1.000000,1.000000,0.000000
9,Gradle,0.514541,0.500000,2.908277
10,Maven,0.485459,0.500000,2.908277
11,Generator,1.000000,1.000000,0.000000
12,Authentication,1.000000,1.000000,0.000000
13,SocialLogin,0.395973,0.268129,47.679988
14,Database,0.982103,0.999391,1.729825
15,SpringWebSockets,0.425056,0.474101,10.344887
16,Libsass,0.395973,0.474101,16.479184
17,ClusteredSession,0.395973,0.474101,16.479184
18,InternationalizationSupport,0.514541,0.500000,2.908277
19,Docker,0.514541,0.500000,2.908277
20,TestingFrameworks,1.000000,1.000000,0.000000
21,Production,0.982103,0.970750,1.169546
22,MySQL,0.000000,0.323583,100.000000
23,MariaDB,0.982103,0.323583,203.508639
24,PostgreSQL,0.000000,0.323583,100.000000
25,SQL,0.982103,0.970750,1.169546
26,Cassandra,0.000000,0.010664,100.000000
27,MongoDB,0.000000,0.017977,100.000000
28,Development,0.982103,0.970750,1.169546
29,H2,0.000000,0.647166,100.000000
30,PostgreSQLDev,0.000000,0.107861,100.000000
31,MariaDBDev,0.982103,0.107861,810.525917
32,MySQLDev,0.000000,0.107861,100.000000
33,DiskBased,0.000000,0.323583,100.000000
34,InMemory,0.000000,0.323583,100.000000
35,ElasticSearch,0.000000,0.485375,100.000000
36,HTTPSession,0.821029,0.270567,203.447911
37,OAuth2,0.000000,0.134065,100.000000
38,Uaa,0.125280,0.170932,26.708060
39,JWT,0.053691,0.424436,87.349981
40,Protractor,0.821029,0.948202,13.412036
41,Gatling,1.000000,1.000000,0.000000
42,Cucumber,1.000000,1.000000,0.000000
43,Application,0.821029,0.948202,13.412036
44,MicroserviceGateway,0.000000,0.273004,100.000000
45,Monolithic,0.821029,0.675198,21.598260
